Date,Open,High,Low,Close,Adj Close,Volume
2023-04-17,823.500000,839.549988,812.099976,835.299988,830.889709,2055636
2023-04-18,839.000000,841.000000,828.549988,835.150024,830.740540,1098803
2023-04-19,839.000000,853.400024,832.200012,851.049988,846.556580,1743643
2023-04-20,854.950012,868.299988,846.099976,867.450012,862.869995,1550109
2023-04-21,868.500000,869.900024,855.000000,856.950012,852.425476,727956
2023-04-24,857.000000,863.450012,845.299988,848.049988,843.572449,780453
2023-04-25,849.099976,852.000000,841.799988,843.549988,839.096191,834942
2023-04-26,845.000000,866.799988,845.000000,854.599976,850.087830,1980399
2023-04-27,830.500000,847.200012,805.000000,808.400024,804.131775,4067448
2023-04-28,806.750000,806.750000,762.750000,799.049988,794.831116,5231996
2023-05-02,795.950012,809.900024,793.049988,801.549988,797.317932,1819490
2023-05-03,802.000000,818.000000,798.549988,809.900024,805.623901,1811010
2023-05-04,813.599976,814.900024,795.000000,801.900024,797.666138,1786337
2023-05-05,801.000000,808.950012,795.000000,798.450012,794.234314,1238885
2023-05-08,799.000000,807.700012,798.500000,803.349976,799.108398,589279
2023-05-09,804.799988,808.450012,801.099976,803.750000,799.506348,940654
2023-05-10,805.950012,808.450012,798.700012,807.450012,803.186829,1415592
2023-05-11,809.000000,816.000000,805.549988,813.599976,809.304321,886748
2023-05-12,815.799988,816.950012,808.000000,809.049988,804.778320,460176
2023-05-15,809.000000,814.349976,805.000000,810.349976,806.071472,380824
2023-05-16,812.000000,816.000000,803.049988,804.549988,800.302063,511123
2023-05-17,807.000000,808.099976,795.000000,803.000000,798.760315,763149
2023-05-18,805.000000,809.049988,796.049988,797.549988,793.339050,354925
2023-05-19,800.950012,801.000000,785.849976,797.250000,793.040649,864639
2023-05-22,797.000000,811.950012,790.500000,809.700012,805.424927,950899
2023-05-23,809.700012,813.000000,804.000000,805.799988,801.545471,401163
2023-05-24,805.799988,808.950012,799.500000,803.450012,799.207947,1950756
2023-05-25,804.000000,814.000000,801.500000,812.250000,807.961426,745354
2023-05-26,815.049988,817.950012,809.200012,814.549988,810.249268,446811
2023-05-29,818.000000,827.500000,815.000000,825.750000,821.390198,982588
