Date,Open,High,Low,Close,Adj Close,Volume
2019-07-05,635.000000,637.500000,612.900024,615.650024,597.949280,1266998
2019-07-08,591.150024,610.000000,591.150024,603.500000,586.148560,1198675
2019-07-09,606.000000,607.000000,587.049988,596.349976,579.204102,1362713
2019-07-10,600.299988,601.049988,589.099976,591.299988,574.299377,1255603
2019-07-11,592.349976,595.599976,583.200012,590.950012,573.959473,1184002
2019-07-12,591.200012,600.000000,584.500000,588.650024,571.725525,1081772
2019-07-15,589.200012,589.950012,580.000000,587.200012,570.317261,719927
2019-07-16,586.099976,598.799988,585.150024,597.000000,579.835510,1354552
2019-07-17,595.799988,598.450012,587.000000,590.700012,577.586548,1123065
2019-07-18,589.349976,590.000000,576.099976,580.400024,567.515259,977805
2019-07-19,582.000000,585.500000,571.000000,578.150024,565.315186,1119667
2019-07-22,583.400024,585.450012,568.750000,582.450012,569.519714,746249
2019-07-23,585.000000,592.400024,581.099976,589.299988,576.217651,1471630
2019-07-24,589.299988,592.900024,573.450012,579.750000,566.879578,1310388
2019-07-25,581.700012,585.000000,575.099976,579.099976,566.244080,841225
2019-07-26,575.000000,586.000000,572.299988,582.950012,570.008667,1049787
2019-07-29,575.000000,582.000000,566.200012,573.000000,560.279480,895924
2019-07-30,571.200012,579.400024,562.099976,565.200012,552.652710,718830
2019-07-31,560.000000,585.000000,557.400024,583.000000,570.057495,1174505
2019-08-01,580.000000,612.599976,580.000000,607.900024,594.404663,4509641
2019-08-02,602.900024,615.349976,601.200012,611.549988,597.973633,2281570
2019-08-05,605.250000,605.250000,596.400024,601.650024,588.293457,1309474
2019-08-06,597.000000,620.849976,597.000000,617.799988,604.084900,1812209
2019-08-07,617.650024,624.400024,594.000000,606.250000,592.791321,2874311
2019-08-08,602.500000,608.400024,590.599976,597.799988,584.528870,1087109
2019-08-09,601.750000,616.450012,600.200012,605.599976,592.155762,1576382
2019-08-13,606.250000,611.000000,579.099976,585.099976,572.110779,1050836
2019-08-14,586.200012,598.000000,586.200012,591.750000,578.613220,577925
2019-08-16,587.200012,609.299988,585.650024,601.549988,588.195618,1585644
2019-08-19,602.099976,614.799988,602.000000,606.750000,593.280273,1063403
2019-08-20,607.000000,608.700012,599.349976,604.849976,591.422485,721901
2019-08-21,605.000000,610.299988,588.000000,592.500000,579.346558,667818
2019-08-22,588.000000,605.799988,583.650024,597.700012,584.431152,871276
2019-08-23,593.700012,615.150024,586.400024,612.650024,599.049255,900178
2019-08-26,616.000000,624.599976,611.000000,614.650024,601.004883,1729430
2019-08-27,618.000000,629.799988,608.400024,618.250000,604.524902,2144964
2019-08-28,617.849976,627.950012,614.099976,625.049988,611.173950,1491115
2019-08-29,627.950012,632.500000,617.099976,630.349976,616.356262,946709
2019-08-30,634.700012,643.950012,623.450012,640.000000,625.792114,963495
2019-09-03,633.750000,636.000000,617.099976,619.950012,606.187256,1622523
